Gene	Direction
KIAA1143	All_7W
KIAA0100	All_7W
C14orf39	All_7W
KIAA0930	All_7W
KIAA0408	All_7W
ABAT	All_7W
ABCA7	All_7W
ABCC5	All_7W
ABI3BP	All_7W
ACACA	All_7W
ACAT2	All_7W
ACER2	All_7W
ACIN1	All_7W
ACKR3	All_7W
ACO1	All_7W
ACRBP	All_7W
ACSBG1	All_7W
ACSF2	All_7W
ACSL1	All_7W
ACTN2	All_7W
ACTR3C	All_7W
ACTR3B	All_7W
ADAM23	All_7W
ADAMTS16	All_7W
ADAMTS17	All_7W
ADAMTS3	All_7W
ADAP2	All_7W
ADCY5	All_7W
ADGRA1	All_7W
ADGRL3	All_7W
ADORA2A	All_7W
AEBP1	All_7W
AGO3	All_7W
AHI1	All_7W
C11orf87	All_7W
AIFM3	All_7W
AKAP13	All_7W
AKAP8	All_7W
AKAP8L	All_7W
AKAP9	All_7W
ALDH1A1	All_7W
ALDH1B1	All_7W
ALKBH1	All_7W
AMIGO2	All_7W
ANGPTL2	All_7W
ANKRD10	All_7W
ANKRD24	All_7W
ANKS3	All_7W
ANO3	All_7W
ANPEP	All_7W
APC	All_7W
APCDD1	All_7W
APOLD1	All_7W
APPL2	All_7W
AREL1	All_7W
ARG2	All_7W
ARGLU1	All_7W
ARHGAP10	All_7W
ARHGAP19-SLIT1	All_7W
ARHGAP19	All_7W
ARHGAP25	All_7W
ARHGAP31	All_7W
ARHGAP32	All_7W
ARHGDIB	All_7W
ARHGEF1	All_7W
ARHGEF26	All_7W
ARID3B	All_7W
ARID5A	All_7W
ARID5B	All_7W
ARL4D	All_7W
ARNT	All_7W
ARNTL2	All_7W
ARPP21	All_7W
ARRDC3	All_7W
ASAP2	All_7W
ASCC2	All_7W
ASIC4	All_7W
ASPG	All_7W
ASTN2	All_7W
ATAT1	All_7W
ATG16L2	All_7W
ATP1A2	All_7W
ATP2A3	All_7W
ATP6V0E1	All_7W
ATXN2L	All_7W
ATXN7	All_7W
AXL	All_7W
B3GAT1	All_7W
B3GAT2	All_7W
BACE2	All_7W
BBOF1	All_7W
BCKDK	All_7W
BCLAF3	All_7W
