Gene	Direction
Lrrc10b	All_7W
Adora2a	All_7W
Syndig1l	All_7W
Drd2	All_7W
Penk	All_7W
Gpr6	All_7W
Gpr88	All_7W
Rxrg	All_7W
Rgs9	All_7W
Ppp1r1b	All_7W
Gng7	All_7W
Drd1	All_7W
Cd4	All_7W
Scn4b	All_7W
Pde10a	All_7W
Slc35d3	All_7W
Tac1	All_7W
Tnfrsf25	All_7W
Gm45623	All_7W
Asic4	All_7W
Gpr52	All_7W
Serpina9	All_7W
Depp1	All_7W
Ecel1	All_7W
Sgk1	All_7W
Rskr	All_7W
Rasd1	All_7W
Rarb	All_7W
Slc47a1	All_7W
Snhg11	All_7W
Adcy5	All_7W
Rasd2	All_7W
Pde1b	All_7W
Six3	All_7W
Dusp5	All_7W
Sh3rf2	All_7W
Gm9925	All_7W
Pcp4l1	All_7W
Mgp	All_7W
Rasgrp2	All_7W
Zfp189	All_7W
Nexn	All_7W
Ddit4	All_7W
Klf2	All_7W
Egr3	All_7W
4930447C04Rik	All_7W
Col5a1	All_7W
Rem2	All_7W
Actn2	All_7W
Ido1	All_7W
Kcnj2	All_7W
Arl4d	All_7W
Rbp1	All_7W
Arg2	All_7W
Cfp	All_7W
Gjb2	All_7W
Cdkn1a	All_7W
Etnk2	All_7W
Nostrin	All_7W
Klhl13	All_7W
Hspa1b	All_7W
Leng8	All_7W
Islr	All_7W
Crabp1	All_7W
Sv2c	All_7W
Spag5	All_7W
Mapk11	All_7W
Pbx3	All_7W
Cys1	All_7W
Slc5a7	All_7W
Dach1	All_7W
Nr4a2	All_7W
Hes1	All_7W
Cort	All_7W
Ifitm1	All_7W
Krt9	All_7W
Tnnc1	All_7W
Pou3f4	All_7W
Prg4	All_7W
Smpd4	All_7W
Dyrk3	All_7W
Car13	All_7W
Tgfa	All_7W
Pnisr	All_7W
Lmo2	All_7W
Lrrc45	All_7W
Tra2a	All_7W
Hes5	All_7W
Spock3	All_7W
Gadd45a	All_7W
Rasl10a	All_7W
Prkch	All_7W
Aifm3	All_7W
Fosb	All_7W
Krt10	All_7W
Il33	All_7W
Gm10643	All_7W
Slc19a3	All_7W
Bhlhe40	All_7W
Clec3b	All_7W
Igsf9b	All_7W
Coro6	All_7W
Syne4	All_7W
Flnb	All_7W
Mex3b	All_7W
Cry1	All_7W
Tbc1d8	All_7W
Unc13c	All_7W
Kcne1l	All_7W
Ltk	All_7W
Nr4a3	All_7W
Trank1	All_7W
Itih2	All_7W
Slc2a1	All_7W
Dlx6	All_7W
Tiparp	All_7W
Aldh1a1	All_7W
Apold1	All_7W
Ctsk	All_7W
Pglyrp1	All_7W
Robo3	All_7W
Arhgdib	All_7W
Ttc14	All_7W
Thbd	All_7W
Slc6a13	All_7W
Pcsk9	All_7W
Slc39a2	All_7W
Ccdc163	All_7W
Csf2ra	All_7W
Edn3	All_7W
Caln1	All_7W
Zfp366	All_7W
Trp53inp1	All_7W
Tle2	All_7W
Slc13a3	All_7W
Myo19	All_7W
Sema4a	All_7W
Htr1b	All_7W
Bmp7	All_7W
Mrc2	All_7W
Sfpq	All_7W
Hs6st3	All_7W
Dnase1l2	All_7W
Efnb1	All_7W
Strip2	All_7W
Wsb1	All_7W
Necab2	All_7W
Hsf4	All_7W
Nfkbia	All_7W
Pdyn	All_7W
Plekho2	All_7W
Tm6sf2	All_7W
Kcna5	All_7W
Ubap1l	All_7W
Cacng4	All_7W
Nktr	All_7W
Prima1	All_7W
Luc7l3	All_7W
Map3k6	All_7W
Foxo1	All_7W
L3mbtl1	All_7W
Clasrp	All_7W
Rnpc3	All_7W
Otub2	All_7W
Doc2b	All_7W
Chrd	All_7W
Rasgef1b	All_7W
Dipk2a	All_7W
Fosl2	All_7W
Bmp4	All_7W
Abcc5	All_7W
Gm266	All_7W
Smim8	All_7W
Fam193b	All_7W
Prkd2	All_7W
