Gene	Direction
KIAA1143	TETA_All
KIAA0100	TETA_All
C14orf39	TETA_All
KIAA0930	TETA_All
KIAA0408	TETA_All
ABAT	TETA_All
ABCA7	TETA_All
ABCC5	TETA_All
ABI3BP	TETA_All
ACACA	TETA_All
ACAT2	TETA_All
ACER2	TETA_All
ACIN1	TETA_All
ACKR3	TETA_All
ACO1	TETA_All
ACRBP	TETA_All
ACSBG1	TETA_All
ACSF2	TETA_All
ACSL1	TETA_All
ACTN2	TETA_All
ACTR3C	TETA_All
ACTR3B	TETA_All
ADAM23	TETA_All
ADAMTS16	TETA_All
ADAMTS17	TETA_All
ADAMTS3	TETA_All
ADAP2	TETA_All
ADCY5	TETA_All
ADGRA1	TETA_All
ADGRL3	TETA_All
ADORA2A	TETA_All
AEBP1	TETA_All
AGO3	TETA_All
AHI1	TETA_All
C11orf87	TETA_All
AIFM3	TETA_All
AKAP13	TETA_All
AKAP8	TETA_All
AKAP8L	TETA_All
AKAP9	TETA_All
ALDH1A1	TETA_All
ALDH1B1	TETA_All
ALKBH1	TETA_All
AMIGO2	TETA_All
ANGPTL2	TETA_All
ANKRD10	TETA_All
ANKRD24	TETA_All
ANKS3	TETA_All
ANO3	TETA_All
ANPEP	TETA_All
APC	TETA_All
APCDD1	TETA_All
APOLD1	TETA_All
APPL2	TETA_All
AREL1	TETA_All
ARG2	TETA_All
ARGLU1	TETA_All
ARHGAP10	TETA_All
ARHGAP19-SLIT1	TETA_All
ARHGAP19	TETA_All
ARHGAP25	TETA_All
ARHGAP31	TETA_All
ARHGAP32	TETA_All
ARHGDIB	TETA_All
ARHGEF1	TETA_All
ARHGEF26	TETA_All
ARID3B	TETA_All
ARID5A	TETA_All
ARID5B	TETA_All
ARL4D	TETA_All
ARNT	TETA_All
ARNTL2	TETA_All
ARPP21	TETA_All
ARRDC3	TETA_All
ASAP2	TETA_All
ASCC2	TETA_All
ASIC4	TETA_All
ASPG	TETA_All
ASTN2	TETA_All
ATAT1	TETA_All
ATG16L2	TETA_All
ATP1A2	TETA_All
ATP2A3	TETA_All
ATP6V0E1	TETA_All
ATXN2L	TETA_All
ATXN7	TETA_All
AXL	TETA_All
B3GAT1	TETA_All
B3GAT2	TETA_All
BACE2	TETA_All
BBOF1	TETA_All
BCKDK	TETA_All
BCLAF3	TETA_All
BDH1	TETA_All
BHLHE40	TETA_All
BIN1	TETA_All
BMP1	TETA_All
BMP4	TETA_All
BMP7	TETA_All
BMPR1A	TETA_All
BRD9	TETA_All
BRINP1	TETA_All
BRINP3	TETA_All
BTAF1	TETA_All
BUD23	TETA_All
C1QTNF1	TETA_All
C2CD5	TETA_All
CACNA1G	TETA_All
CACNA2D3	TETA_All
CACNG4	TETA_All
CACYBP	TETA_All
CADPS2	TETA_All
CALN1	TETA_All
CAMK1	TETA_All
CAMK1G	TETA_All
CAMK4	TETA_All
CAMKK1	TETA_All
CA13	TETA_All
CA7	TETA_All
CASK	TETA_All
CASKIN1	TETA_All
CASTOR2	TETA_All
CBFA2T3	TETA_All
CBX7	TETA_All
YJU2B	TETA_All
CCDC134	TETA_All
CCDC136	TETA_All
CCDC141	TETA_All
CCDC159	TETA_All
CCDC39	TETA_All
CCDC8	TETA_All
CCDC82	TETA_All
CENATAC	TETA_All
CCL27	TETA_All
CCM2L	TETA_All
CCNL1	TETA_All
CCNL2	TETA_All
CCNT2	TETA_All
CD34	TETA_All
CD4	TETA_All
CDC25B	TETA_All
CDC37L1	TETA_All
CDC7	TETA_All
CDH6	TETA_All
CDK9	TETA_All
CDKN1A	TETA_All
CDS1	TETA_All
CELF5	TETA_All
CELSR3	TETA_All
CENPB	TETA_All
CEP70	TETA_All
CEP95	TETA_All
CFAP100	TETA_All
CFAP65	TETA_All
CFAP69	TETA_All
CFP	TETA_All
CGNL1	TETA_All
CHAC1	TETA_All
CHKA	TETA_All
CHORDC1	TETA_All
CHRD	TETA_All
CHUK	TETA_All
CLASRP	TETA_All
CLEC18B	TETA_All
CLEC18C	TETA_All
CLEC18A	TETA_All
CLEC3B	TETA_All
CLK1	TETA_All
CLK4	TETA_All
CNTNAP3C	TETA_All
CNTNAP3B	TETA_All
CNTNAP3	TETA_All
COCH	TETA_All
COL19A1	TETA_All
COL1A1	TETA_All
COL1A2	TETA_All
COL4A1	TETA_All
COL4A2	TETA_All
COL5A1	TETA_All
COL8A2	TETA_All
CORO1A	TETA_All
CORO6	TETA_All
CORT	TETA_All
COX6A2	TETA_All
CPEB1	TETA_All
CPLANE1	TETA_All
CPSF4	TETA_All
CPSF6	TETA_All
CPSF7	TETA_All
CPT1A	TETA_All
CRABP1	TETA_All
CREBZF	TETA_All
CRIP3	TETA_All
CRY1	TETA_All
CSF2RA	TETA_All
CSPP1	TETA_All
CSTF2	TETA_All
CTNNAL1	TETA_All
CTPS2	TETA_All
CTSK	TETA_All
CTXN3	TETA_All
CXXC5	TETA_All
CYLD	TETA_All
CYP2S1	TETA_All
CYS1	TETA_All
CZIB	TETA_All
DAB2	TETA_All
DACH1	TETA_All
DACT2	TETA_All
DAP	TETA_All
DBP	TETA_All
DDIT4	TETA_All
DDIT4L	TETA_All
DDR2	TETA_All
DDX17	TETA_All
DDX39B	TETA_All
DDX55	TETA_All
DEPP1	TETA_All
DGAT2	TETA_All
DGKB	TETA_All
DHDH	TETA_All
DIAPH2	TETA_All
DIMT1	TETA_All
DIPK2A	TETA_All
DIS3L2	TETA_All
DKK3	TETA_All
DLG4	TETA_All
DLK2	TETA_All
DLX6	TETA_All
DMPK	TETA_All
DNAJA4	TETA_All
DNAJB1	TETA_All
DNAJB5	TETA_All
DNASE1L2	TETA_All
DNASE2	TETA_All
DOC2B	TETA_All
DOCK1	TETA_All
DOT1L	TETA_All
DPF1	TETA_All
DPF2	TETA_All
DRD1	TETA_All
DRD2	TETA_All
DTX4	TETA_All
DTYMK	TETA_All
DUSP11	TETA_All
DUSP5	TETA_All
DYNLT1	TETA_All
DYRK3	TETA_All
DZIP1	TETA_All
ZNF764	TETA_All
ZNF747	TETA_All
EBAG9	TETA_All
ECEL1	TETA_All
EDN3	TETA_All
EFHD2	TETA_All
EFNB1	TETA_All
EGR3	TETA_All
EMILIN1	TETA_All
EML5	TETA_All
EMX1	TETA_All
ENC1	TETA_All
EPB41L4B	TETA_All
