Gene	Direction
Lrrc10b	TETA_All
Adora2a	TETA_All
Syndig1l	TETA_All
Drd2	TETA_All
Penk	TETA_All
Gpr6	TETA_All
Gpr88	TETA_All
Rxrg	TETA_All
Rgs9	TETA_All
Ppp1r1b	TETA_All
Gng7	TETA_All
Drd1	TETA_All
Cd4	TETA_All
Scn4b	TETA_All
Pde10a	TETA_All
Slc35d3	TETA_All
Tac1	TETA_All
Tnfrsf25	TETA_All
Gm45623	TETA_All
Asic4	TETA_All
Gpr52	TETA_All
Serpina9	TETA_All
Depp1	TETA_All
Ecel1	TETA_All
Sgk1	TETA_All
Rskr	TETA_All
Rasd1	TETA_All
Rarb	TETA_All
Slc47a1	TETA_All
Snhg11	TETA_All
Adcy5	TETA_All
Rasd2	TETA_All
Pde1b	TETA_All
Six3	TETA_All
Dusp5	TETA_All
Sh3rf2	TETA_All
Gm9925	TETA_All
Pcp4l1	TETA_All
Mgp	TETA_All
Rasgrp2	TETA_All
Zfp189	TETA_All
Nexn	TETA_All
Ddit4	TETA_All
Klf2	TETA_All
Egr3	TETA_All
4930447C04Rik	TETA_All
Col5a1	TETA_All
Rem2	TETA_All
Actn2	TETA_All
Ido1	TETA_All
Kcnj2	TETA_All
Arl4d	TETA_All
Rbp1	TETA_All
Arg2	TETA_All
Cfp	TETA_All
Gjb2	TETA_All
Cdkn1a	TETA_All
Etnk2	TETA_All
Nostrin	TETA_All
Klhl13	TETA_All
Hspa1b	TETA_All
Leng8	TETA_All
Islr	TETA_All
Crabp1	TETA_All
Sv2c	TETA_All
Spag5	TETA_All
Mapk11	TETA_All
Pbx3	TETA_All
Cys1	TETA_All
Slc5a7	TETA_All
Dach1	TETA_All
Nr4a2	TETA_All
Hes1	TETA_All
Cort	TETA_All
Ifitm1	TETA_All
Krt9	TETA_All
Tnnc1	TETA_All
Pou3f4	TETA_All
Prg4	TETA_All
Smpd4	TETA_All
Dyrk3	TETA_All
Car13	TETA_All
Tgfa	TETA_All
Pnisr	TETA_All
Lmo2	TETA_All
Lrrc45	TETA_All
Tra2a	TETA_All
Hes5	TETA_All
Spock3	TETA_All
Gadd45a	TETA_All
Rasl10a	TETA_All
Prkch	TETA_All
Aifm3	TETA_All
Fosb	TETA_All
Krt10	TETA_All
Il33	TETA_All
Gm10643	TETA_All
Slc19a3	TETA_All
Bhlhe40	TETA_All
Clec3b	TETA_All
Igsf9b	TETA_All
Coro6	TETA_All
Syne4	TETA_All
Flnb	TETA_All
Mex3b	TETA_All
Cry1	TETA_All
Tbc1d8	TETA_All
Unc13c	TETA_All
Kcne1l	TETA_All
Ltk	TETA_All
Nr4a3	TETA_All
Trank1	TETA_All
Itih2	TETA_All
Slc2a1	TETA_All
Dlx6	TETA_All
Tiparp	TETA_All
Aldh1a1	TETA_All
Apold1	TETA_All
Ctsk	TETA_All
Pglyrp1	TETA_All
Robo3	TETA_All
Arhgdib	TETA_All
Ttc14	TETA_All
Thbd	TETA_All
Slc6a13	TETA_All
Pcsk9	TETA_All
Slc39a2	TETA_All
Ccdc163	TETA_All
Csf2ra	TETA_All
Edn3	TETA_All
Caln1	TETA_All
Zfp366	TETA_All
Trp53inp1	TETA_All
Tle2	TETA_All
Slc13a3	TETA_All
Myo19	TETA_All
Sema4a	TETA_All
Htr1b	TETA_All
Bmp7	TETA_All
Mrc2	TETA_All
Sfpq	TETA_All
Hs6st3	TETA_All
Dnase1l2	TETA_All
Efnb1	TETA_All
Strip2	TETA_All
Wsb1	TETA_All
Necab2	TETA_All
Hsf4	TETA_All
Nfkbia	TETA_All
Pdyn	TETA_All
Plekho2	TETA_All
Tm6sf2	TETA_All
Kcna5	TETA_All
Ubap1l	TETA_All
Cacng4	TETA_All
Nktr	TETA_All
Prima1	TETA_All
Luc7l3	TETA_All
Map3k6	TETA_All
Foxo1	TETA_All
L3mbtl1	TETA_All
Clasrp	TETA_All
Rnpc3	TETA_All
Otub2	TETA_All
Doc2b	TETA_All
Chrd	TETA_All
Rasgef1b	TETA_All
Dipk2a	TETA_All
Fosl2	TETA_All
Bmp4	TETA_All
Abcc5	TETA_All
Gm266	TETA_All
Smim8	TETA_All
Fam193b	TETA_All
Prkd2	TETA_All
Ints6l	TETA_All
Clk1	TETA_All
Ahi1	TETA_All
Atp6ap1l	TETA_All
Cox6a2	TETA_All
Mthfd1l	TETA_All
Tatdn3	TETA_All
Anxa2	TETA_All
Stra6	TETA_All
Otof	TETA_All
Nab2	TETA_All
Prpf39	TETA_All
Ccm2l	TETA_All
Pxdn	TETA_All
Gpr68	TETA_All
Zfp692	TETA_All
Chka	TETA_All
Pcdh20	TETA_All
Ccdc159	TETA_All
Zfp950	TETA_All
Cpeb1	TETA_All
Zfp932	TETA_All
Kcna4	TETA_All
Nrbp2	TETA_All
Chuk	TETA_All
Omd	TETA_All
Cpsf4	TETA_All
Vasn	TETA_All
Aebp1	TETA_All
Serinc2	TETA_All
Abi3bp	TETA_All
Dact2	TETA_All
Clec18a	TETA_All
Pdgfb	TETA_All
N4bp3	TETA_All
Utp14b	TETA_All
Htr2c	TETA_All
Sec14l5	TETA_All
Ubn2	TETA_All
Ccdc134	TETA_All
Ccnl2	TETA_All
Pde7b	TETA_All
Ier5l	TETA_All
Tbc1d2	TETA_All
Acer2	TETA_All
Paxbp1	TETA_All
Vsig2	TETA_All
Fn1	TETA_All
Rsrp1	TETA_All
Nptx1	TETA_All
Rbm12b2	TETA_All
Slc35b2	TETA_All
Ssh3	TETA_All
Pabpn1	TETA_All
Hdac7	TETA_All
Hapln2	TETA_All
Sertm1	TETA_All
Aspg	TETA_All
Bbof1	TETA_All
Adamts3	TETA_All
Klhdc9	TETA_All
Fmnl1	TETA_All
Ddit4l	TETA_All
Chac1	TETA_All
Dmpk	TETA_All
Bmp1	TETA_All
Hmgb3	TETA_All
Irs2	TETA_All
Arrdc3	TETA_All
Ctps2	TETA_All
Hnrnph1	TETA_All
Crip3	TETA_All
Itgbl1	TETA_All
Tekt1	TETA_All
Nvl	TETA_All
Nectin1	TETA_All
P2ry13	TETA_All
Ier5	TETA_All
Gse1	TETA_All
Spaca6	TETA_All
Ankrd24	TETA_All
Tbc1d16	TETA_All
Pradc1	TETA_All
Clk4	TETA_All
Cacna2d3	TETA_All
Fam241a	TETA_All
Rara	TETA_All
Pcgf6	TETA_All
Fibcd1	TETA_All
Hrh1	TETA_All
Tacr1	TETA_All
Ypel4	TETA_All
Zfp503	TETA_All
Col4a2	TETA_All
Metrnl	TETA_All
Acrbp	TETA_All
Zfp276	TETA_All
Vwa5b2	TETA_All
Col1a1	TETA_All
Oprk1	TETA_All
Smpdl3b	TETA_All
Tia1	TETA_All
Lyz2	TETA_All
Nr2f1	TETA_All
Aldh1b1	TETA_All
Atp2a3	TETA_All
Tmem40	TETA_All
Rgl2	TETA_All
Dot1l	TETA_All
Itga5	TETA_All
Tnip2	TETA_All
Slc26a2	TETA_All
Mat2a	TETA_All
Srrm2	TETA_All
Prrt2	TETA_All
Tkfc	TETA_All
Galnt15	TETA_All
Slc32a1	TETA_All
Dgkb	TETA_All
Apcdd1	TETA_All
Ccdc84	TETA_All
Pcolce	TETA_All
Gask1b	TETA_All
Cbfa2t3	TETA_All
Tle6	TETA_All
Tmem132d	TETA_All
Hecw2	TETA_All
Shkbp1	TETA_All
Kcnab1	TETA_All
Dusp11	TETA_All
Coch	TETA_All
Rimbp2	TETA_All
Galnt9	TETA_All
Slc4a4	TETA_All
Zfp57	TETA_All
Lmo7	TETA_All
Tcea2	TETA_All
Akap8l	TETA_All
Palmd	TETA_All
Zfp804a	TETA_All
Spns2	TETA_All
Gsn	TETA_All
Fam20a	TETA_All
Celsr3	TETA_All
Hspa1a	TETA_All
Srgap1	TETA_All
Mme	TETA_All
Gnb4	TETA_All
Car15	TETA_All
Pmp22	TETA_All
1700109H08Rik	TETA_All
P3h3	TETA_All
Kcnk9	TETA_All
Tjap1	TETA_All
Nid1	TETA_All
Zgpat	TETA_All
Adap2	TETA_All
Cdc7	TETA_All
Phf1	TETA_All
Phf21b	TETA_All
Zdhhc22	TETA_All
Hspa5	TETA_All
Snrnp70	TETA_All
Ctxn3	TETA_All
Ntn5	TETA_All
BC030500	TETA_All
Col1a2	TETA_All
Il17d	TETA_All
Zcchc7	TETA_All
Srsf7	TETA_All
Arhgap25	TETA_All
Igfn1	TETA_All
Rbm45	TETA_All
Glt8d2	TETA_All
Rcn3	TETA_All
Gadd45b	TETA_All
Sparc	TETA_All
Cfap65	TETA_All
Slc38a6	TETA_All
E430018J23Rik	TETA_All
Nxf1	TETA_All
Gm38394	TETA_All
Synpr	TETA_All
Itga8	TETA_All
Gm20219	TETA_All
Rbm33	TETA_All
Ankrd10	TETA_All
Hjurp	TETA_All
Sfswap	TETA_All
Tnfaip6	TETA_All
Sox4	TETA_All
Anks3	TETA_All
Tmc4	TETA_All
Ddx17	TETA_All
Rapgef3	TETA_All
Cep95	TETA_All
Fam78a	TETA_All
Zc3h11a	TETA_All
Cntnap3	TETA_All
Col4a1	TETA_All
Slc6a20a	TETA_All
Astn2	TETA_All
Srsf11	TETA_All
Fbxl12	TETA_All
Zfp583	TETA_All
Slf2	TETA_All
Emx1	TETA_All
Dnajb5	TETA_All
Znrd1as	TETA_All
Acat3	TETA_All
Arntl2	TETA_All
Cd68	TETA_All
Shb	TETA_All
Mtcp1	TETA_All
Serpinf1	TETA_All
Sirt4	TETA_All
Arglu1	TETA_All
Tmem86b	TETA_All
Ovol2	TETA_All
Fam43b	TETA_All
Srek1	TETA_All
Ackr3	TETA_All
Pdlim2	TETA_All
Id3	TETA_All
Acin1	TETA_All
Snrnp48	TETA_All
Tlnrd1	TETA_All
Nrde2	TETA_All
Pdp2	TETA_All
Dbp	TETA_All
Atxn2l	TETA_All
Ptpn6	TETA_All
Pak7	TETA_All
Neurod2	TETA_All
Adamts16	TETA_All
Car7	TETA_All
Fbll1	TETA_All
Akap9	TETA_All
Gimap6	TETA_All
Ttl	TETA_All
Slc9a9	TETA_All
Helq	TETA_All
P4ha1	TETA_All
Zranb2	TETA_All
Tspoap1	TETA_All
Htr1a	TETA_All
Zscan26	TETA_All
Klf6	TETA_All
Erich3	TETA_All
Cdc37l1	TETA_All
Numbl	TETA_All
Chordc1	TETA_All
Col8a2	TETA_All
