CTL1	CTL2	CTL3	CTL4	CTL5	TETA1	TETA2	TETA3	TETA4
0610009B22Rik	330	317	269	233	281	331	234	295	306
0610010F05Rik	1290	1295	1128	1072	1198	1238	915	1197	1160
0610010K14Rik	27	24	25	14	30	31	21	41	32
0610012G03Rik	784	862	638	700	869	848	649	806	730
0610030E20Rik	501	518	371	380	468	538	391	527	469
0610040J01Rik	105	121	73	102	93	113	86	82	83
1110002E22Rik	147	164	123	113	122	157	103	139	138
1110004F10Rik	2071	2173	1702	1809	2098	2049	1541	2171	1781
1110008P14Rik	2742	3474	2516	2383	3210	3116	2070	2744	2830
1110012L19Rik	156	156	133	148	192	148	132	182	162
1110017D15Rik	19	17	21	17	26	25	13	19	24
1110025L11Rik	0	0	0	0	0	0	0	0	0
1110032A03Rik	708	677	570	546	668	674	463	632	546
1110032F04Rik	478	588	431	443	523	510	399	480	459
1110038F14Rik	286	268	211	239	279	265	223	261	219
1110051M20Rik	1491	1546	1214	1355	1564	1555	1224	1588	1385
1110057P08Rik	0	0	0	0	0	0	0	0	0
1110059E24Rik	346	354	298	296	356	343	220	337	284
1110059G10Rik	362	345	299	249	349	314	200	289	244
1110065P20Rik	467	645	480	480	514	569	357	458	458
1190005I06Rik	19	13	7	23	25	26	29	26	16
1190007I07Rik	128	111	61	93	110	108	96	128	121
1300017J02Rik	2	3	2	1	6	2	3	2	8
1500009C09Rik	2181	2295	1645	1809	2085	2030	1424	2057	1797
1500009L16Rik	207	237	182	189	209	228	140	229	209
1500011B03Rik	2209	2196	1740	1735	2331	2069	1713	2096	1813
1520401A03Rik	1	2	2	1	5	3	2	7	3
1600012H06Rik	384	430	314	325	396	329	314	383	353
1600014C10Rik	755	756	619	613	781	749	611	796	703
1600014C23Rik	0	2	3	0	0	4	0	3	0
1700001C19Rik	2	1	1	0	3	2	1	2	0
1700001F09Rik	0	0	0	0	0	0	0	0	0
1700001J03Rik	1	0	2	3	0	1	0	0	3
1700001K19Rik	0	0	0	0	0	0	1	0	0
1700001L19Rik	347	353	264	264	276	334	237	306	297
1700001O22Rik	95	104	69	74	85	75	71	83	88
1700001P01Rik	2	10	4	5	2	14	4	10	4
1700003E16Rik	656	743	581	567	670	731	538	723	578
1700003F12Rik	1	6	4	0	4	4	3	5	4
1700003H04Rik	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0
