Gene	Direction
C1orf189	All
C1orf53	All
C6orf136	All
KIAA1109	All
AARS2	All
ABCD4	All
ABCG1	All
ABHD18	All
ABHD5	All
ACADL	All
ACER2	All
ACKR2	All
ACY1	All
ABHD14A-ACY1	All
ADAMTS1	All
ADAMTS4	All
ADCY4	All
ADGRE5	All
ADORA2A	All
AGBL5	All
AGPAT4	All
AHDC1	All
SMIM29	All
AK5	All
ALG11	All
ANKRD35	All
ANKRD44	All
ANXA2	All
APLN	All
APLNR	All
AQP11	All
AQR	All
ARF3	All
ARHGAP18	All
ARID5B	All
ARMC5	All
ARMCX4	All
ARPP21	All
ASPRV1	All
ATG2B	All
ATP13A3	All
ATP6V0C	All
AURKB	All
BAHD1	All
BCL6	All
BCORL1	All
BCS1L	All
BEND5	All
BMPR2	All
BOC	All
BRWD3	All
BST2	All
BUD31	All
C1QL1	All
CABP7	All
CACNA1E	All
CASKIN2	All
CAVIN2	All
CCDC14	All
CCDC190	All
CCDC39	All
CENATAC	All
CCDC91	All
CCDC9B	All
CD302	All
CD93	All
CDHR1	All
CDK10	All
CENPL	All
CEP72	All
CEP97	All
CERS5	All
CH25H	All
CHCHD7	All
CHD2	All
CHMP1B	All
CHMP6	All
CLCN5	All
CLEC14A	All
CLPP	All
COL18A1	All
COL4A1	All
COL4A2	All
COL6A1	All
COMMD6	All
COQ2	All
CRAMP1	All
CRBN	All
CREG1	All
CRYL1	All
CSTB	All
CYP4F8	All
C2orf80	All
DCAF12L2	All
DDIT4	All
DDTL	All
DDT	All
DEDD2	All
DGAT2	All
DGKQ	All
DHCR7	All
DHRS2	All
DLG3	All
DLX1	All
DMPK	All
DPH1	All
DUS3L	All
ECHDC2	All
EFNA3	All
EGR1	All
EID1	All
ELL	All
EMID1	All
ENO1	All
ENOPH1	All
ENTR1	All
EPAS1	All
EPHX1	All
EPHX4	All
ERCC6	All
ERICH1	All
ERMP1	All
ESRRA	All
ETNK2	All
ETS2	All
ETV1	All
EYA2	All
FAM107A	All
PABIR1	All
FAM133B	All
FAM43B	All
FAM71E1	All
FANCB	All
FANCF	All
FASN	All
FBL	All
FBXO21	All
FCRL4	All
FDFT1	All
FHL2	All
FLT1	All
FMNL2	All
FNIP2	All
FOXK2	All
FSD1L	All
GAL3ST1	All
GAPDH	All
GART	All
GCDH	All
GDPD3	All
C11orf71	All
ZNF34	All
GPI	All
GPR52	All
GSG1L	All
GTPBP2	All
HCFC2	All
HERC1	All
HEXIM2	All
HID1	All
HIF3A	All
HIGD1B	All
HK2	All
HNRNPUL2	All
HNRNPUL2-BSCL2	All
HOPX	All
HR	All
HSD17B11	All
HSPB1	All
IDH2	All
IER2	All
IER3	All
IFT88	All
IGSF3	All
IL13RA1	All
IL17D	All
IL18	All
IL1RAP	All
INO80C	All
INSYN2B	All
ITFG2	All
ITM2C	All
ITPA	All
JMJD7	All
KCNA6	All
KCTD5	All
KCTD7	All
KDM3A	All
KDM5B	All
KDM7A	All
KDR	All
KIFC1	All
KLF13	All
KLF16	All
KLHL29	All
LAMA4	All
LARP6	All
LCP1	All
LDLR	All
LITAF	All
LIX1	All
LNX2	All
LONRF1	All
LRIF1	All
LRRC3B	All
LRRC8C	All
LTV1	All
LUZP2	All
LYRM1	All
MAIP1	All
MANEA	All
MANF	All
MCAM	All
MCPH1	All
MCUB	All
MFSD4B	All
MICAL1	All
MID1	All
MKNK2	All
MMGT1	All
MMP11	All
MN1	All
MOB3C	All
MPP2	All
MRC2	All
MRPL19	All
MRPL54	All
MRPS31	All
MSH2	All
MSH6	All
MTA3	All
MTERF3	All
MTHFD2	All
MUS81	All
MVD	All
MYCBP	All
MYH9	All
MYO19	All
MZT2A	All
MZT2B	All
NAGK	All
NANOS3	All
NARF	All
NAV3	All
NCLN	All
NDUFAF4	All
NHLH2	All
NID1	All
NID2	All
NOL4L	All
NOL9	All
NOP56	All
NPDC1	All
NR2C1	All
NRCAM	All
NSMAF	All
NTHL1	All
NUBP1	All
NYAP2	All
OLFM4	All
OPN3	All
OTUD7B	All
P3H3	All
P4HA1	All
PACSIN3	All
PANK2	All
PARP12	All
PCDH1	All
PCDHB14	All
PCDHGB7	All
PCGF5	All
PDCD2L	All
PDGFRB	All
PDK1	All
PEAK1	All
PECAM1	All
PELO	All
PFKFB1	All
PHACTR4	All
PHF1	All
PHPT1	All
PIDD1	All
PIGO	All
PISD	All
PLA2G7	All
PLCD3	All
PLEKHF2	All
PLEKHH1	All
PLPP6	All
POLD2	All
POLR2M	All
PPP1R10	All
