Gene	Direction
Ch25h	All
Bst2	All
Dhrs2	All
Ier3	All
Prss38	All
Ucma	All
Jmjd7	All
Nanos3	All
S100a13	All
Asprv1	All
Egr1	All
Selenop	All
C1ql1	All
Fancf	All
Phpt1	All
Ly6g6e	All
Ephx1	All
Gal3st1	All
Ddit4	All
Hopx	All
Smim24	All
Gm5617	All
Mcam	All
Rnf213	All
P4ha1	All
Spata24	All
Clec14a	All
Ccdc190	All
Tnfaip6	All
Ifi27	All
Mcub	All
Ier2	All
Srrd	All
Gdpd3	All
Hbb-bt	All
Tmem204	All
Vwf	All
Adamts1	All
H2-D1	All
Plcd3	All
Kdr	All
Erich1	All
Higd1b	All
Aplnr	All
Mrc2	All
Tceal7	All
Rpusd2	All
Eya2	All
2610042L04Rik	All
Apln	All
Gm10643	All
Nthl1	All
Stard10	All
Nid2	All
Smad6	All
Slc2a1	All
Nhlh2	All
Kdm3a	All
Hspb1	All
Cyp4f16	All
Ino80c	All
Mvd	All
Pecam1	All
Gm7072	All
2310009B15Rik	All
Dcaf12l2	All
Tha1	All
Mcts2	All
Fam43b	All
Tgfb3	All
Pelo	All
Mid1	All
Acer2	All
Flt1	All
Dhcr7	All
Txnip	All
Ccdc84	All
Pla2g7	All
Bcl6	All
Myh9	All
Arpp21	All
Armc5	All
Pygl	All
Parp12	All
Cryl1	All
Adgre5	All
Hif3a	All
Znhit2	All
Anxa2	All
Lnx2	All
Cabp7	All
Col4a1	All
Dmpk	All
Col4a2	All
Bcorl1	All
Ankrd35	All
Ubxn8	All
Tmem41a	All
Gpr52	All
Col18a1	All
Mus81	All
Pdgfrb	All
Fam71e1	All
Col6a1	All
Fhl2	All
Ptprb	All
Pcdhgb7	All
Zfp459	All
Uba52	All
Snx9	All
Mmp11	All
Lama4	All
Ackr2	All
Eno1	All
Ldlr	All
Zbtb34	All
Esrra	All
Hexim2	All
Klf16	All
Zfp583	All
Il18	All
Scand1	All
Coq2	All
Slc16a3	All
Dph1	All
Pxdc1	All
Taf5l	All
Zfp248	All
1700094D03Rik	All
Fam122a	All
Dlx1	All
Spag6l	All
Cavin2	All
Bcs1l	All
Vtn	All
Apopt1	All
Ift88	All
Cdhr1	All
Mpp2	All
Rrbp1	All
Snrpg	All
Nubp1	All
Il17d	All
Kdm5b	All
Hk2	All
Kdm7a	All
Zcchc9	All
Nid1	All
Smarcd2	All
Adora2a	All
Myo19	All
Slc35f2	All
Ccdc9b	All
Chchd7	All
4932438A13Rik	All
Gm3248	All
Luzp2	All
Dgat2	All
Slc25a16	All
AI413582	All
Olfm4	All
Slc7a14	All
D630023F18Rik	All
Lyrm1	All
Arhgap18	All
Pcdhb20	All
Pdk1	All
Pcdh1	All
Fam107a	All
Mfsd4b4	All
Slc35f3	All
Wdr92	All
Mycbp	All
Insyn2b	All
Timm10b	All
Stard4	All
Mknk2	All
Stx3	All
Tnfsf12	All
Larp6	All
Atp6v0c	All
Ltv1	All
Spata6	All
Agbl5	All
Tmem14a	All
Bahd1	All
H2bc4	All
Fcrls	All
Kctd7	All
Ikzf4	All
Lrrc3b	All
P3h3	All
Adamts4	All
Mmgt2	All
Tcta	All
Acy1	All
Scamp2	All
Ephx4	All
Lix1	All
Tmem39a	All
Gm3739	All
Pigo	All
Litaf	All
Msh2	All
Atg2b	All
Cep97	All
Ets2	All
Gpi1	All
Zfp599	All
Tmem184b	All
Rpusd1	All
Cacna1e	All
Sdccag8	All
Pacsin3	All
Arid5b	All
Mzt2	All
Cd302	All
Tcf19	All
Il13ra1	All
Prdm11	All
Lcp1	All
Manf	All
9130019O22Rik	All
Manea	All
Lrrc8c	All
Cd93	All
Abcg1	All
Armcx4	All
Etnk2	All
Tcp11l2	All
Fancb	All
Frg1	All
Fsd1l	All
Itga5	All
Commd6	All
Lrif1	All
Cenpl	All
Igsf3	All
Brwd3	All
Sc5d	All
Fdft1	All
Rab3il1	All
Dgkq	All
Rlf	All
Sema4b	All
Aqp11	All
Ppp1r3f	All
Abhd18	All
Phactr4	All
Zfp93	All
Tpi1	All
Herc1	All
Cep72	All
Thada	All
Fbl	All
Ak5	All
Pspc1	All
Chmp6	All
Narf	All
Clpp	All
Nsmaf	All
Mob3c	All
Fam133b	All
Triap1	All
Atp13a3	All
Pisd	All
Zfp810	All
Tgfb1i1	All
Nyap2	All
Wdr45	All
Plekhh1	All
Ddt	All
Entr1	All
Zfyve19	All
Nol9	All
Zswim1	All
Fasn	All
Acadl	All
Bud31	All
Zfp36	All
Susd6	All
Ripor1	All
2310061I04Rik	All
Pfkfb1	All
Echdc2	All
Itfg2	All
Hr	All
Mrpl54	All
Recql5	All
Creg1	All
Mterf3	All
Nsun4	All
Agpat4	All
Maip1	All
Nr2c1	All
Snrnp200	All
Efna3	All
Alg11	All
Pold2	All
Prnp	All
Ttc5	All
Itpa	All
Klf13	All
Ermp1	All
Trnt1	All
Ppp1r10	All
Otud7b	All
Tmem170b	All
Rwdd2b	All
Pidd1	All
Fmnl2	All
Plekhf2	All
Kcna6	All
Kifc1	All
Itm2c	All
Abhd5	All
Chmp1b	All
Mn1	All
Mical1	All
Gtpbp2	All
Aurkb	All
Stac2	All
Apaf1	All
Peak1	All
Srsf2	All
Thoc5	All
Crbn	All
Klhl29	All
Nrcam	All
Enoph1	All
Aqr	All
Ankrd44	All
Caskin2	All
Mrps31	All
Mthfd2	All
Tuba4a	All
Tbc1d25	All
Pvr	All
Bend5	All
Cramp1l	All
Il1rap	All
Slc35e4	All
Dus3l	All
Msh6	All
Snx13	All
Shank3	All
Riok1	All
Zfp467	All
Cstb	All
Aars2	All
Tafa1	All
Ptprg	All
Sall1	All
Tbcel	All
Eid1	All
Hnrnpul2	All
Phf1	All
Pdcd2l	All
Kctd5	All
Emid1	All
Dedd2	All
Spg7	All
Rasgrf1	All
Boc	All
Zfp850	All
Ccdc91	All
Ccdc14	All
Chd2	All
Adcy4	All
Idh2	All
Ccdc39	All
Gcdh	All
Amy1	All
Clcn5	All
Abcd4	All
Nagk	All
Ublcp1	All
Hsd17b11	All
Ncln	All
Ppp1r7	All
Pank2	All
Zc3h12b	All
Ppp2r3a	All
Nav3	All
Ell	All
Wdr5b	All
Stxbp1	All
Cers5	All
Mcph1	All
Bmpr2	All
Plpp6	All
Ercc6	All
Gart	All
Dlg3	All
Gapdh	All
Ahdc1	All
Shd	All
Fbxo21	All
Rdh11	All
Zfyve27	All
Stx2	All
Utp14b	All
Snca	All
Slc35a3	All
Epas1	All
Etv1	All
Rprd2	All
Rnase4	All
Npdc1	All
Mta3	All
Gsg1l	All
Ube2h	All
Smad5	All
Rnf19a	All
Rere	All
Slc39a14	All
Opn3	All
Scfd2	All
Cdk10	All
Lonrf1	All
Zfp462	All
Slc1a1	All
Mrpl19	All
Smarcd3	All
Spata2	All
Hid1	All
Zfp865	All
Pcgf5	All
Tmem167b	All
Arf3	All
Ttbk2	All
Rps2	All
Zfand3	All
Unc45a	All
Pwp1	All
Foxk2	All
Nol4l	All
Nop56	All
Polr2m	All
Fnip2	All
Ndufaf4	All
Hcfc2	All
Jmjd7	Downreg
Asprv1	Downreg
Selenop	Downreg
C1ql1	Downreg
Fancf	Downreg
Phpt1	Downreg
Ly6g6e	Downreg
Gal3st1	Downreg
Smim24	Downreg
Gm5617	Downreg
Spata24	Downreg
Ccdc190	Downreg
Tnfaip6	Downreg
Mcub	Downreg
Srrd	Downreg
Gdpd3	Downreg
Erich1	Downreg
Aplnr	Downreg
2610042L04Rik	Downreg
Gm10643	Downreg
Nthl1	Downreg
Ino80c	Downreg
Gm7072	Downreg
2310009B15Rik	Downreg
