CTL1.1	CTL1.2	CTL2.1	CTL2.2	CTL3.1	CTL3.2	TETA1.1	TETA1.2	TETA2.1	TETA2.2	TETA3.1	TETA3.2
0610009B22Rik	3.99803800938226	3.87602649205945	3.85038124027794	3.91279482225839	3.92017000043091	3.74569622214233	3.92006715769114	3.87509084235282	3.87716336593763	3.85437687946907	3.98110227580995	3.81334596652608
0610010F05Rik	5.19496904461376	5.18008543223701	5.20848851008546	5.17089055241977	5.16353107633373	5.19097122579451	5.14895686448826	5.13633057701157	5.07876546910552	5.13316861289417	5.18233683589182	5.15743538514074
0610010K14Rik	0.992725823165737	1.10648651954318	0.987979893087269	0.979746006231716	0.889899465661556	1.23335687726157	0.852936114404701	1.03897663581491	1.21188891665163	1.0834779216297	1.14500227486669	0.916686370070098
0610012G03Rik	4.91677688630962	4.85497452893143	4.81398243494509	4.8002693740344	4.82195792620164	4.82974147490476	4.8364725028487	4.86164824950532	4.93395095778365	4.78205351681227	4.94171844289696	4.8228141113411
0610030E20Rik	2.62694894689337	2.44752498117902	2.5933505356084	2.54084156227856	2.45592623500169	2.44893292154022	2.52096519685055	2.61423273159759	2.47038709369216	2.5004762549735	2.48374695270204	2.59822952118047
1110004F10Rik	5.92714027828422	5.84281373363202	5.96901680959808	5.93042678132563	5.92581605238596	5.86390794458214	5.92486860142874	5.95692855302892	5.92759017659018	5.88409982202889	5.81614002330211	5.87883244347563
1110008P14Rik	3.18742525298882	3.16658247096425	3.02775474122923	3.20512513685771	3.01340473918353	3.10182519483882	3.14499420644736	3.10271008665193	3.20205214290579	3.13928155752356	3.18898816339081	3.04018311096105
1110012L19Rik	3.95300310146792	3.77349069522146	4.11311729122178	3.86300886502897	3.85213949314343	3.9026009024785	3.78513444421559	4.11417358433317	3.84594014536642	4.03157400363232	3.85704397035579	3.96945708530456
1110017D15Rik	1.31884135221309	1.31866614475255	1.29171093084489	1.18447688518625	1.13487408757128	1.36832505628112	1.29926030532341	1.14356168309064	1.31334830813401	0.974688929502782	1.35390957176413	1.20823565760534
1110032A03Rik	2.16775018190469	1.98606957390397	2.17896007137535	2.04038048472893	2.14938383494316	2.02719441082462	2.02965504991049	2.2903479807508	2.12702324266558	2.21873924380814	2.10385591688953	2.0452132539649
1110032F04Rik	1.87732481394519	2.03307574901717	2.19649550197956	1.94102650536635	1.85520893516284	2.10430767426953	1.83778837734989	1.84158989693754	1.92593631930485	1.94003347271855	2.13164325885922	2.00157381811897
1110038F14Rik	3.06786041525835	3.0512781335133	3.10286421513002	3.14259565112906	2.99532692780411	3.11696992120243	2.99921915835076	3.13669290232927	3.2419848117512	3.10089219196282	2.99229042992083	3.04824122800458
1110051M20Rik	3.9395338112363	3.95075482725913	3.94762771775234	3.91486338694935	3.91230196610551	3.95058138039482	3.93223484598407	3.92631356461076	3.87873025879476	3.96230038851409	3.99651311976895	3.93386345544404
1110059E24Rik	3.06772064458527	3.08862702973333	2.94942127689194	3.08828384865839	3.03795301581008	3.08511361388652	3.10372305106492	3.05279738241047	3.02287931262638	3.08512161948671	3.01944023202108	3.03778767871435
1110059G10Rik	2.10444051573732	1.95364193263015	2.00468624770939	1.9835988560644	1.96635010720275	1.94232912326624	1.89061995193653	2.03758971572689	2.0516991959775	1.90798796368621	2.01153641928936	1.98322913945054
1110065P20Rik	3.75223964439571	3.68791774277773	3.80274502462399	3.80358238603435	3.62903587746489	3.62558930799317	3.773806964998	3.73488218006733	3.75673490301219	3.76751038126612	3.76777266737459	3.68066817136657
1190005I06Rik	1.02711286184703	1.1743083890679	0.918658453621966	1.11023604271697	1.10250503926642	1.21980787423543	1.0285599972529	0.821977380910497	0.722809583674997	0.935134528396869	0.930308002366713	0.901008515304181
1190007I07Rik	2.23808187743973	2.48494988143347	2.22491340956014	2.48974022838717	2.46588109921227	2.55394564934528	2.34614884598062	2.22383224872261	2.27733421490999	2.37809417366184	2.14684014645622	2.32063115008792
1500009C09Rik	4.82235811310575	4.75007900921235	4.8650936566797	4.81908275481199	4.76111710302735	4.81802183701345	4.87170714396594	4.93298113008757	4.84184393872073	4.87506755956719	4.73149298188949	4.83522436225642
1500009L16Rik	2.85850183357152	2.80348679382293	2.71728998931662	2.7882931716649	2.89770311318036	2.78478289612581	2.72939273803862	2.85371879349725	2.88297648776154	2.77542540689603	2.77527984070298	2.85465163574896
1500011B03Rik	5.00052189967136	4.96114160031382	5.02642886139382	4.95196034282394	4.99769953647847	4.96572770110269	4.99701886077153	5.01369943923221	5.07093397969605	4.96368215315267	5.02704657258171	4.91891757695055
1600012H06Rik	3.03528221287676	3.05189561437065	3.02208456244712	3.04476478890291	3.05095564380712	3.00784726819659	3.00761214110919	2.99441463615886	2.96654127413059	3.04436146623	3.06684640447463	3.06656563822872
1600014C10Rik	2.64234698068613	2.56540110038388	2.44142012545244	2.55654178473332	2.56362839180854	2.57921538286735	2.51778374677533	2.58213967856497	2.47860781189046	2.51176135733667	2.48928020210628	2.58276785440651
1700001L19Rik	1.8265234884151	1.80986721368481	1.86220334529475	1.7684077458625	1.83873785094148	1.91839131214551	1.68689875952214	1.8294430047838	1.76432196161041	1.70640464070677	1.71306030016163	1.95748940984716
1700003E16Rik	2.04051773241962	2.00023118312979	2.12517269425654	2.04328872955747	1.954783688375	1.95367128512007	2.07158405009928	2.10050536625798	2.13258974171131	2.11189092500163	2.13653950834505	2.11025552992943
1700016K19Rik	1.48588318754836	1.4026965044232	0.982924657461904	1.37035977791682	1.18873933691436	1.51084996848018	1.10545986655529	1.31906952267865	1.04151100950853	1.20902749587086	1.08094732328041	1.50498197464638
1700017B05Rik	1.16778529415621	1.11445170632703	1.016040626178	1.13741175170325	1.01390946246706	1.06436455428596	1.09569374502789	1.16395874309475	1.26830151666429	1.15500517851156	1.18212102527032	1.07938662423484
1700019D03Rik	0.853845077991245	0.726874920879051	0.755900986283787	0.753109640538489	0.756512656653939	0.727649588954388	0.702935997344925	0.797724009190847	0.572529334142119	0.772718237220077	0.745101349419845	0.761742110730872
1700020D05Rik	1.61693112716187	1.47903911702993	1.28448354562793	1.6628814612311	1.36300441503274	1.41656188590834	1.6099018473114	1.24784732262712	0.970042558559037	1.25310464537635	1.20386101273197	1.20561923256307
1700025G04Rik	3.34103643385338	3.27579087417191	3.33347590992702	3.26807200854255	3.23657420011065	3.27874532898997	3.29921355586475	3.31027636832976	3.33164315671699	3.22626712517236	3.33309888748606	3.31249016455665
1700029J07Rik	1.14603265779356	1.26240526088838	1.13372399678536	1.18503555538223	1.50968518401675	1.32787660147522	1.39606731886139	1.33372599750942	1.38752013748763	1.29972933027159	1.09791259533448	1.25794987855187
