CTL1.1	CTL1.2	CTL2.1	CTL2.2	CTL3.1	CTL3.2	TETA1.1	TETA1.2	TETA2.1	TETA2.2	TETA3.1	TETA3.2
0610009B22Rik	258	202	317	286	315	258	250	233	234	364	220	283
0610010F05Rik	2898	2904	4373	3980	4076	3760	3127	3472	2807	4449	2906	3858
0610010K14Rik	30	32	43	40	37	55	27	37	41	54	35	36
0610012G03Rik	695	533	893	860	893	871	703	714	712	993	695	865
0610030E20Rik	452	403	678	632	586	536	481	600	429	658	425	626
0610040J01Rik	27	28	27	23	30	37	24	21	25	46	16	36
1110002E22Rik	84	75	109	106	136	86	96	141	83	89	81	107
1110004F10Rik	2382	2041	3524	3258	3360	3012	2615	2803	2479	3667	2185	3110
1110008P14Rik	378	280	442	474	433	452	376	335	378	566	338	427
1110012L19Rik	259	201	414	319	331	325	246	320	246	433	230	348
1110017D15Rik	35	34	49	36	38	47	37	31	35	37	32	40
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	305	224	433	350	412	349	289	358	302	508	267	357
1110032F04Rik	106	117	211	164	153	181	116	127	118	182	139	166
1110038F14Rik	219	211	336	334	300	307	236	289	267	361	211	298
1110051M20Rik	1158	1109	1725	1633	1645	1581	1301	1420	1177	1879	1240	1597
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	360	365	483	492	492	466	408	423	360	584	333	471
1110059G10Rik	295	270	400	342	360	321	264	328	292	398	251	350
1110065P20Rik	439	319	616	579	536	520	466	427	441	694	409	538
1190005I06Rik	19	21	23	25	28	30	20	14	12	27	14	20
1190007I07Rik	76	76	103	117	122	127	87	73	78	135	62	104
1300017J02Rik	0	11	22	33	22	11	0	11	11	11	0	0
1500009C09Rik	866	677	1240	1126	1121	1119	952	984	889	1409	774	1148
1500009L16Rik	359	296	450	436	502	437	344	378	370	529	313	470
1500011B03Rik	1377	1153	1959	1746	1883	1731	1471	1514	1467	2108	1337	1713
1520401A03Rik	3	3	4	5	2	3	1	4	0	1	0	2
1600012H06Rik	353	388	542	535	535	468	405	472	361	572	385	513
1600014C10Rik	330	273	401	428	439	424	329	363	299	471	289	425
1600014C23Rik	0	0	0	0	44	0	22	22	11	0	0	0
1700001C19Rik	1	3	4	5	1	12	5	7	3	11	10	4
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	1	0	0	2	0	3	0	1	2	2	0	0
1700001K19Rik	2	0	2	0	0	0	0	0	0	0	1	0
1700001L19Rik	86	73	117	81	104	105	73	72	77	120	56	114
1700001O22Rik	13	11	25	19	17	16	5	11	12	28	18	20
1700001P01Rik	9	3	7	3	8	10	13	11	3	9	4	3
1700003E16Rik	110	72	161	168	151	154	127	128	125	185	130	163
1700003F12Rik	2	0	7	4	1	1	0	1	3	3	3	1
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	9	11	16	10	8	14	7	5	9	19	16	7
1700008O03Rik	16	11	18	21	17	14	10	7	5	21	13	19
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	22	15	27	15	23	21	15	14	18	26	14	18
1700011L22Rik	1	0	1	0	1	0	0	0	1	0	0	1
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	5	1	2	4	4	4	3	0	1	4	0	3
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	14	18	20	17	15	16	5	20	15	24	14	12
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	11	0
1700014D04Rik	1	2	8	2	4	6	5	3	4	9	4	3
1700015F17Rik	1	1	0	0	0	0	0	1	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	11	0	11	0	11	0	0	0	0	0	0
1700016D06Rik	0	0	11	0	0	0	0	0	0	0	0	0
1700016H13Rik	3	3	7	2	3	8	7	4	2	9	1	2
1700016K19Rik	29	20	21	30	27	38	19	22	17	34	15	37
1700017B05Rik	91	89	119	152	124	123	103	141	116	147	110	124
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	1	0	1	2	1	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	3	9	4	9	2	5	0	2	7	5	2	0
1700019D03Rik	55	51	72	58	66	56	48	61	36	80	41	64
1700019N19Rik	0	11	0	0	0	11	0	0	0	11	11	11
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	28	38	35	49	35	31	36	35	15	31	20	27
1700020L24Rik	4	3	2	1	5	1	5	3	2	6	2	3
